Librosa_GMMCQT_Cluster4

Bulletproof_Librosa_GMMCQT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
3,64.92299319727891,64.668653,2,0.254340197278907,64.001988,0.9210051972789159,69.335308,-4.412314802721085
4,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.76716553287983,150.666278,3,0.100887532879824,151.999608,-1.2324424671201655,157.332928,-6.56576246712018
7,166.1619954648526,165.999573,2,0.1624224648525967,165.332908,0.8290874648525914,157.332928,8.829067464852585
8,197.34639455782312,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.21111135411942192,,0.8441716764928131,,5.426046610733176
Proximity Scores,,,,0.31666782284869,,1.2662606803909204,,8.139090263825423
Percent of ground truth boundaries,0.5
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_GMMCQT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,32.507936507936506,32.667287,2,-0.1593504920634956,32.000772,0.5071645079365084,26.6666,5.841336507936507
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,68.4756462585034,68.668643,4,-0.19299674149660007,69.335308,-0.8596617414965948,69.335308,-0.8596617414965948
6,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
7,140.08598639455784,139.999274,3,0.08671239455782143,141.332604,-1.246617605442168,135.999284,4.086702394557847
