id,start,end,label
1,0.0,4.272471655328798,4.0
2,4.272471655328798,8.266303854875284,3.0
3,8.266303854875284,12.26013605442177,3.0
4,12.26013605442177,16.486167800453515,1.0
5,16.486167800453515,19.504761904761907,1.0
6,19.504761904761907,23.54503401360544,1.0
7,23.54503401360544,27.538866213151927,1.0
8,27.538866213151927,31.48625850340136,1.0
9,31.48625850340136,35.5265306122449,1.0
10,35.5265306122449,39.52036281179139,0.0
11,39.52036281179139,43.51419501133787,0.0
12,43.51419501133787,47.50802721088435,0.0
13,47.50802721088435,51.54829931972789,0.0
14,51.54829931972789,55.54213151927438,0.0
15,55.54213151927438,59.76816326530612,0.0
16,59.76816326530612,63.80843537414966,0.0
17,63.80843537414966,67.9415873015873,3.0
18,67.9415873015873,72.02829931972789,3.0
19,72.02829931972789,76.02213151927438,1.0
20,76.02213151927438,78.01904761904763,1.0
21,78.01904761904763,82.0128798185941,1.0
22,82.0128798185941,86.05315192743764,1.0
23,86.05315192743764,90.04698412698413,1.0
24,90.04698412698413,94.04081632653062,1.0
25,94.04081632653062,98.03464852607709,0.0
26,98.03464852607709,102.02848072562358,0.0
27,102.02848072562358,106.02231292517007,0.0
28,106.02231292517007,110.01614512471656,0.0
29,110.01614512471656,114.00997732426303,0.0
30,114.00997732426303,118.05024943310657,0.0
31,118.05024943310657,122.04408163265306,0.0
32,122.04408163265306,126.03791383219955,0.0
33,126.03791383219955,130.03174603174602,0.0
34,130.03174603174602,134.0255782312925,0.0
35,134.0255782312925,138.019410430839,0.0
36,138.019410430839,142.2918820861678,0.0
37,142.2918820861678,146.28571428571428,2.0
38,146.28571428571428,150.27954648526077,2.0
39,150.27954648526077,152.276462585034,2.0
40,152.276462585034,156.50249433106575,2.0
41,156.50249433106575,160.5427664399093,0.0
42,160.5427664399093,164.53659863945578,0.0
43,164.53659863945578,168.53043083900226,0.0
44,168.53043083900226,170.5273469387755,0.0
45,170.5273469387755,174.521179138322,0.0
46,174.521179138322,178.5150113378685,0.0
47,178.5150113378685,182.50884353741498,0.0
48,182.50884353741498,203.08172335600906,0.0
49,203.08172335600906,203.0997732426304,4.0
