id,start,end,label
1,0.0,2.693514739229025,10.0
2,2.693514739229025,5.38702947845805,1.0
3,5.38702947845805,8.034104308390022,1.0
4,8.034104308390022,10.681179138321996,1.0
5,10.681179138321996,13.374693877551021,2.0
6,13.374693877551021,16.021768707482995,1.0
7,16.021768707482995,18.715283446712018,1.0
8,18.715283446712018,21.36235827664399,1.0
9,21.36235827664399,24.055873015873015,1.0
10,24.055873015873015,25.727709750566895,1.0
11,25.727709750566895,27.028027210884353,1.0
12,27.028027210884353,29.72154195011338,1.0
13,29.72154195011338,32.36861678004535,1.0
14,32.36861678004535,35.062131519274374,5.0
15,35.062131519274374,37.6627664399093,2.0
16,37.6627664399093,40.35628117913832,9.0
17,40.35628117913832,43.699954648526074,1.0
18,43.699954648526074,46.34702947845805,5.0
19,46.34702947845805,47.04362811791383,1.0
20,47.04362811791383,49.69070294784581,7.0
21,49.69070294784581,52.38421768707483,1.0
22,52.38421768707483,55.031292517006804,1.0
23,55.031292517006804,57.72480725623583,1.0
24,57.72480725623583,59.025124716553286,1.0
25,59.025124716553286,61.718639455782316,7.0
26,61.718639455782316,63.018956916099775,1.0
27,63.018956916099775,64.36571428571429,1.0
28,64.36571428571429,67.0592290249433,1.0
29,67.0592290249433,69.70630385487529,7.0
30,69.70630385487529,72.35337868480725,7.0
31,72.35337868480725,75.04689342403628,7.0
32,75.04689342403628,76.34721088435374,8.0
33,76.34721088435374,77.69396825396825,2.0
34,77.69396825396825,80.34104308390023,7.0
35,80.34104308390023,83.03455782312925,5.0
36,83.03455782312925,84.38131519274377,3.0
37,84.38131519274377,87.02839002267574,6.0
38,87.02839002267574,89.72190476190477,1.0
39,89.72190476190477,92.36897959183673,3.0
40,92.36897959183673,93.71573696145124,9.0
41,93.71573696145124,96.36281179138322,1.0
42,96.36281179138322,97.70956916099773,0.0
43,97.70956916099773,99.05632653061224,7.0
44,99.05632653061224,100.35664399092971,3.0
45,100.35664399092971,103.05015873015873,5.0
46,103.05015873015873,105.69723356009071,0.0
47,105.69723356009071,107.04399092970522,0.0
48,107.04399092970522,108.39074829931972,1.0
49,108.39074829931972,109.69106575963718,1.0
50,109.69106575963718,112.33814058956916,5.0
51,112.33814058956916,113.35981859410431,0.0
52,113.35981859410431,116.05333333333333,3.0
53,116.05333333333333,117.3536507936508,1.0
54,117.3536507936508,120.04716553287982,3.0
55,120.04716553287982,121.34748299319727,3.0
56,121.34748299319727,122.6942403628118,1.0
57,122.6942403628118,125.38775510204081,2.0
58,125.38775510204081,126.73451247165534,1.0
59,126.73451247165534,128.03482993197278,1.0
60,128.03482993197278,130.72834467120182,5.0
61,130.72834467120182,132.02866213151927,1.0
62,132.02866213151927,133.3754195011338,1.0
63,133.3754195011338,134.07201814058956,1.0
64,134.07201814058956,135.37233560090704,1.0
65,135.37233560090704,138.06585034013605,1.0
66,138.06585034013605,140.71292517006802,7.0
67,140.71292517006802,143.36,0.0
68,143.36,144.38167800453516,9.0
69,144.38167800453516,147.02875283446713,1.0
70,147.02875283446713,149.6758276643991,1.0
71,149.6758276643991,152.3693424036281,7.0
72,152.3693424036281,155.01641723356008,0.0
73,155.01641723356008,157.70993197278912,5.0
74,157.70993197278912,159.05668934240362,4.0
75,159.05668934240362,160.40344671201814,5.0
76,160.40344671201814,163.0505215419501,2.0
77,163.0505215419501,164.39727891156463,4.0
78,164.39727891156463,167.0443537414966,1.0
79,167.0443537414966,169.69142857142856,1.0
80,169.69142857142856,172.3849433106576,2.0
81,172.3849433106576,173.68526077097505,1.0
82,173.68526077097505,175.03201814058957,6.0
83,175.03201814058957,176.3787755102041,7.0
84,176.3787755102041,179.02585034013606,1.0
85,179.02585034013606,180.37260770975055,0.0
86,180.37260770975055,181.71936507936508,0.0
87,181.71936507936508,184.36643990929704,5.0
88,184.36643990929704,185.71319727891157,4.0
89,185.71319727891157,187.0599546485261,1.0
90,187.0599546485261,188.36027210884353,1.0
91,188.36027210884353,191.05378684807258,1.0
92,191.05378684807258,193.70086167800454,2.0
93,193.70086167800454,195.04761904761904,1.0
94,195.04761904761904,196.39437641723356,6.0
95,196.39437641723356,197.69469387755103,2.0
96,197.69469387755103,200.38820861678005,2.0
97,200.38820861678005,201.73496598639457,1.0
98,201.73496598639457,204.3356009070295,1.0
99,204.3356009070295,205.63591836734693,1.0
100,205.63591836734693,206.9362358276644,1.0
101,206.9362358276644,208.51519274376417,1.0
102,208.51519274376417,209.76907029478457,1.0
103,209.76907029478457,212.36970521541951,1.0
104,212.36970521541951,213.67002267573696,1.0
105,213.67002267573696,216.22421768707483,1.0
106,216.22421768707483,217.47809523809525,1.0
107,217.47809523809525,219.42857142857142,1.0
108,219.42857142857142,220.7288888888889,1.0
109,220.7288888888889,223.3295238095238,1.0
110,223.3295238095238,225.88371882086167,1.0
111,225.88371882086167,227.18403628117915,1.0
112,227.18403628117915,229.78467120181406,1.0
113,229.78467120181406,234.05714285714285,1.0
114,234.05714285714285,234.0768253968254,10.0
